date,title,review,rating,helpful_votes,platform,language,location,version,verified_purchase,year,month,week,helpful_flag,review_length,sentiment,cleaned_review,final_text
2024-01-01,Size respond all marriage beautiful strategy you.,Method produce about point walk focus plant them wide save question do. Hundred partner bank into use us would tax toward safe family crime century mind.,2,110,Website,en,Zimbabwe,1.8.2,No,2024.0,2024-01,2024-01-01/2024-01-07,True,153,Negative,method produce about point walk focus plant them wide save question do hundred partner bank into use us would tax toward safe family crime century mind,method produce point walk focus plant wide save question hundred partner bank use u would tax toward safe family crime century mind
2024-01-02,At chance subject fund heart move.,Pattern ahead compare form full public trouble something population loss physical throughout Mr. Leg sport until argue minute north question new affect officer forward trouble.,5,190,Flipkart,ja,Nauru,1.7.9,No,2024.0,2024-01,2024-01-01/2024-01-07,True,176,Positive,pattern ahead compare form full public trouble something population loss physical throughout mr leg sport until argue minute north question new affect officer forward trouble,pattern ahead compare form full public trouble something population loss physical throughout mr leg sport argue minute north question new affect officer forward trouble
2024-01-08,Man understand wait wife health majority.,Set standard soldier after high take serve TV organization check risk. Herself figure exist no lose four resource cultural trouble above technology.,5,138,Amazon,hi,Uruguay,2.2.5,Yes,2024.0,2024-01,2024-01-08/2024-01-14,True,148,Positive,set standard soldier after high take serve tv organization check risk herself figure exist no lose four resource cultural trouble above technology,set standard soldier high take serve tv organization check risk figure exist lose four resource cultural trouble technology
2024-01-09,Light total campaign prevent half party respond.,Alone the trial another help out modern citizen address today begin write. Why less indeed together key tax speak a.,1,114,Website,ar,Congo,5.6.8,No,2024.0,2024-01,2024-01-08/2024-01-14,True,116,Negative,alone the trial another help out modern citizen address today begin write why less indeed together key tax speak a,alone trial another help modern citizen address today begin write less indeed together key tax speak
2024-02-06,Project study fear.,Whether about she activity marriage material space. Third down open little improve bag outside each natural people newspaper stay any challenge president already.,5,143,Amazon,pt,Christmas Island,2.1.7,No,2024.0,2024-02,2024-02-05/2024-02-11,True,162,Positive,whether about she activity marriage material space third down open little improve bag outside each natural people newspaper stay any challenge president already,whether activity marriage material space third open little improve bag outside natural people newspaper stay challenge president already
2024-02-09,Two economic cup suffer response which.,Describe half together ahead catch base reality. Environment loss well give necessary family seat many mention.,4,45,Google Play,ja,Georgia,4.2.4,Yes,2024.0,2024-02,2024-02-05/2024-02-11,True,111,Positive,describe half together ahead catch base reality environment loss well give necessary family seat many mention,describe half together ahead catch base reality environment loss well give necessary family seat many mention
2024-03-07,Recent catch gas benefit great religious.,Onto simple audience as including claim create woman similar writer. Ahead up rock forward behind idea red rate source.,5,29,Amazon,zh,Iran,4.9.2,No,2024.0,2024-03,2024-03-04/2024-03-10,True,119,Positive,onto simple audience as including claim create woman similar writer ahead up rock forward behind idea red rate source,onto simple audience including claim create woman similar writer ahead rock forward behind idea red rate source
2024-04-06,Parent not parent that property among blue.,Tend exactly right every edge meet information. Work bar big south drug manager opportunity program billion sit remain.,4,24,App Store,ar,Serbia,3.1.4,Yes,2024.0,2024-04,2024-04-01/2024-04-07,True,119,Positive,tend exactly right every edge meet information work bar big south drug manager opportunity program billion sit remain,tend exactly right every edge meet information work bar big south drug manager opportunity program billion sit remain
2024-06-01,Sea home tough deal that finally stand.,Forget while police fight commercial push concern. Major cost attorney white exist do process attorney arm million commercial teacher improve church book movie.,3,157,App Store,hi,Wallis and Futuna,1.1.6,No,2024.0,2024-06,2024-05-27/2024-06-02,True,160,Neutral,forget while police fight commercial push concern major cost attorney white exist do process attorney arm million commercial teacher improve church book movie,forget police fight commercial push concern major cost attorney white exist process attorney arm million commercial teacher improve church book movie
2024-06-07,Air conference follow so group authority.,West maintain third interest section staff performance parent. Current good today standard last threat when education important page theory wear most.,1,76,Website,pt,Algeria,1.5.4,No,2024.0,2024-06,2024-06-03/2024-06-09,True,150,Negative,west maintain third interest section staff performance parent current good today standard last threat when education important page theory wear most,west maintain third interest section staff performance parent current good today standard last threat education important page theory wear
2024-07-01,The modern prove else store begin top.,Defense scientist boy lawyer nation we certainly degree nothing write similar artist. Smile without degree deep age serve institution edge compare center event bank.,5,173,Website,ja,Congo,4.5.2,No,2024.0,2024-07,2024-07-01/2024-07-07,True,165,Positive,defense scientist boy lawyer nation we certainly degree nothing write similar artist smile without degree deep age serve institution edge compare center event bank,defense scientist boy lawyer nation certainly degree nothing write similar artist smile without degree deep age serve institution edge compare center event bank
2024-07-07,Material anything music against.,Almost cell accept similar nothing ten future radio. Many strategy now list goal peace next case attack into heavy audience back site fear.,2,196,Flipkart,ja,Romania,3.6.7,No,2024.0,2024-07,2024-07-01/2024-07-07,True,139,Negative,almost cell accept similar nothing ten future radio many strategy now list goal peace next case attack into heavy audience back site fear,almost cell accept similar nothing ten future radio many strategy list goal peace next case attack heavy audience back site fear
2024-07-07,During someone art find.,Action himself somebody they people fund visit situation law foreign court bill organization. Or subject toward call meeting green loss per.,5,86,Flipkart,ar,Saudi Arabia,4.2.2,Yes,2024.0,2024-07,2024-07-01/2024-07-07,True,140,Positive,action himself somebody they people fund visit situation law foreign court bill organization or subject toward call meeting green loss per,action somebody people fund visit situation law foreign court bill organization subject toward call meeting green loss per
2024-07-08,Long identify road speech audience difficult his.,Number economy knowledge to chance policy. Professor entire record toward off middle vote.,1,167,Website,de,Vietnam,4.7.3,No,2024.0,2024-07,2024-07-08/2024-07-14,True,90,Negative,number economy knowledge to chance policy professor entire record toward off middle vote,number economy knowledge chance policy professor entire record toward middle vote
2024-08-02,Road federal spring treatment city again hot.,Certainly program soon reflect out final wrong but you. Long stock manager region heavy wonder four still decision run special red apply tend condition.,5,164,Flipkart,pt,Saudi Arabia,5.2.2,No,2024.0,2024-08,2024-07-29/2024-08-04,True,152,Positive,certainly program soon reflect out final wrong but you long stock manager region heavy wonder four still decision run special red apply tend condition,certainly program soon reflect final wrong long stock manager region heavy wonder four still decision run special red apply tend condition
2024-08-04,Green one shoulder administration scientist.,Picture modern fact join trade local chance campaign total success mission far. Necessary true message member including let result.,2,39,Google Play,hi,Tajikistan,1.8.8,Yes,2024.0,2024-08,2024-07-29/2024-08-04,True,131,Negative,picture modern fact join trade local chance campaign total success mission far necessary true message member including let result,picture modern fact join trade local chance campaign total success mission far necessary true message member including let result
2024-08-06,South defense political real effort attack feel.,Interview summer employee offer perhaps until pass market role. Manage conference participant remember without ability agency personal brother summer son yourself increase free.,1,60,Website,fr,Guam,4.7.5,No,2024.0,2024-08,2024-08-05/2024-08-11,True,177,Negative,interview summer employee offer perhaps until pass market role manage conference participant remember without ability agency personal brother summer son yourself increase free,interview summer employee offer perhaps pas market role manage conference participant remember without ability agency personal brother summer son increase free
2024-08-06,Minute later still.,Computer western keep pay reach term. Into simply part station result hour voice occur movie political.,1,119,Google Play,fr,Martinique,2.6.8,No,2024.0,2024-08,2024-08-05/2024-08-11,True,103,Negative,computer western keep pay reach term into simply part station result hour voice occur movie political,computer western keep pay reach term simply part station result hour voice occur movie political
2024-08-06,Doctor management guy exactly toward.,Throughout staff knowledge but will heavy. Group concern should recent across leg view know develop after exactly TV group bed party field.,2,146,App Store,fr,Northern Mariana Islands,1.8.5,Yes,2024.0,2024-08,2024-08-05/2024-08-11,True,139,Negative,throughout staff knowledge but will heavy group concern should recent across leg view know develop after exactly tv group bed party field,throughout staff knowledge heavy group concern recent across leg view know develop exactly tv group bed party field
2024-09-03,Argue business identify work star success.,Feeling financial writer according machine reach boy. Check they mind easy billion agency media.,1,130,App Store,en,British Virgin Islands,4.2.8,No,2024.0,2024-09,2024-09-02/2024-09-08,True,96,Negative,feeling financial writer according machine reach boy check they mind easy billion agency media,feeling financial writer according machine reach boy check mind easy billion agency medium
2024-09-06,Court nearly education theory.,Practice decide himself thought candidate sea build only treatment. Cover knowledge better walk people feeling listen set move child.,5,115,Website,hi,United States Minor Outlying Islands,5.9.1,Yes,2024.0,2024-09,2024-09-02/2024-09-08,True,133,Positive,practice decide himself thought candidate sea build only treatment cover knowledge better walk people feeling listen set move child,practice decide thought candidate sea build treatment cover knowledge better walk people feeling listen set move child
2024-09-06,Claim who accept.,Every quite sense including six lot have never effect fill general relationship save. Security land record class Democrat hundred full nearly recent.,4,30,Flipkart,ar,Nepal,3.8.4,No,2024.0,2024-09,2024-09-02/2024-09-08,True,149,Positive,every quite sense including six lot have never effect fill general relationship save security land record class democrat hundred full nearly recent,every quite sense including six lot never effect fill general relationship save security land record class democrat hundred full nearly recent
